country,times
Afghanistan,46
Albania,2
Algeria,25
American Samoa,6
Angola,47
Antigua and Barbuda,1
Argentina,58
Armenia,5
Australia,92
Austria,5
Azerbaijan,9
Bahamas,13
Bangladesh,5
Barbados,2
Belarus,3
Belgium,17
Belize,1
Benin,1
Bermuda,4
Bhutan,1
Bolivia,52
Bosnia and Herzegovina,4
Botswana,3
Brazil,219
British Virgin Islands,1
Bulgaria,12
Burkina Faso,1
Cambodia,5
Cameroon,28
Canada,180
Cape Verde,2
Caribbean Netherlands,2
Central African Republic,5
Chad,2
Chile,23
China,90
Colombia,162
Congo D.R.,69
Cook Islands,1
Costa Rica,14
Cote d'Ivoire,5
Croatia,5
Cuba,18
Curacao,2
Cyprus,4
Czech Republic,12
Denmark,9
Dominica,1
Dominican Republic,6
East Timor,1
Ecuador,37
Egypt,44
El Salvador,5
Eritrea,2
Estonia,8
Ethiopia,16
Faroe Islands,1
Finland,4
France,163
French Polynesia,10
French Southern Territories,2
Georgia,15
Germany,98
Greece,30
Greenland,6
Guam,6
Guatemala,18
Guernsey,1
Guinea,3
Guyana,5
Haiti,8
Honduras,32
Hong Kong,14
Hungary,8
Iceland,7
India,110
Indonesia,112
Iran,48
Iraq,14
Ireland,17
Isle of Man,1
Israel,3
Italy,80
Jamaica,2
Japan,53
Kazakhstan,15
Kenya,26
Kiribati,1
Kyrgyzstan,5
Laos,28
Latvia,2
Lebanon,8
Liberia,6
Libya,22
Lithuania,2
Luxembourg,2
Macao,1
Macedonia,5
Madagascar,9
Malawi,1
Malaysia,16
Mali,4
Malta,7
Marshall Islands,1
Mauritania,7
Mauritius,1
Mexico,97
Minor Outlying Islands,3
Moldova,2
Mongolia,6
Morocco,29
Mozambique,8
Myanmar,26
Namibia,5
Nepal,35
Netherlands,20
New Caledonia,7
New Zealand,25
Nicaragua,19
Niger,4
Nigeria,35
North Korea,2
Northern Mariana Islands,1
Norway,35
Pakistan,38
Palau,1
Panama,15
Papua New Guinea,47
Paraguay,1
Peru,55
Philippines,78
Poland,14
Portugal,20
Puerto Rico,26
Qatar,3
Romania,24
Russia,228
Rwanda,4
Saint-Barthelemy,1
Saudi Arabia,23
Senegal,10
Serbia,8
Sierra Leone,3
Singapore,2
Sint Maarten,1
Slovakia,7
Slovenia,5
Somalia,13
South Africa,26
South Korea,17
South Sudan,9
Spain,79
Sri Lanka,15
Sudan,29
Suriname,5
Svalbard and Jan Mayen,1
Sweden,15
Switzerland,22
Syria,14
Taiwan,41
Tanzania,8
Thailand,30
Tunisia,2
Turkey,33
Turks and Caicos Islands,3
U.S. Virgin Islands,12
Uganda,5
Ukraine,36
United Arab Emirates,10
United Kingdom,135
United States,1473
Uruguay,8
Uzbekistan,10
Venezuela,66
Vietnam,78
Yemen,9
Zambia,5
Zimbabwe,4
